date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:25	781918/781918	---M--	200	added ('OK')	image/png	etag:%22b11f104d4ffc7a969b084a717ffd58b1%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/logo_2.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/logo_2.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:25	200563/200563	---M--	200	added ('OK')	image/png	etag:%22a477d56c6564a61db4a7ed011f82beb0%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/ambassador.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/ambassador.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:26	128370/128370	---M--	200	added ('OK')	image/png	etag:%225a45551593928efd4f0d8f0f9d6c3bf3%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/zues.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/zues.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:26	387735/387735	---M--	200	added ('OK')	image/png	etag:%22d172d56763863b913142411d731e2f6f%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/jackpot.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/jackpot.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:26	831835/831835	---M--	200	added ('OK')	image/png	etag:%228127e03c49915f6205c7f1a075b8d86f%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/frame.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/frame.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:27	524360/524360	---M--	200	added ('OK')	image/png	etag:%22e6270f8222255a2211144bc833d21a06%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/frame-mobile.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/frame-mobile.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:27	181275/181275	---M--	200	added ('OK')	image/png	etag:%22a4c91af3974da42e72351057e78d6aa9%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/outer.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/outer.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:28	158605/158605	---M--	200	added ('OK')	image/png	etag:%22e2c38bcd49d06f41065bc29745ca80d5%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/inner.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/inner.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:29	215138/215138	---M--	200	added ('OK')	image/png	etag:%22078d48074edf98f58d9465e89973be1a%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/spin.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/spin.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:29	34250/34250	---M--	200	added ('OK')	image/png	etag:%22f390135cbe5fa30d064998f36639e055%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/spin-again.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/spin-again.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
